tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:고를_거예요.mp3]	고를 거예요<div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="과거">골랐어요</div><div class="미래">고를 거예요</div><div class="명령법">고르세요</div></div><div class="bloc"><div class="고">고르고</div><div class="지만">고르지만</div><div class="는데">고르는데</div><div class="면">고르면</div></div></div>	il choisira, il sélectionnera<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [고를] avec [거를]&nbsp;: 걸을 거예요 (il marchera)</li></ul>

[sound:고맙습니다.mp3]	고맙습니다<p class="발음">[고맙<span style="font-weight: bold">씀</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div><div class="미래">고마울 거예요</div></div><div class="bloc"><div class="고">고맙고</div><div class="지만">고맙지만</div><div class="는데">고마운데</div><div class="면">고마우면</div></div></div>	il remercie, merci<p class="small">(하십시오체, registre formel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사합니다 est plus formelle</li></ul>
[sound:고마워요.mp3]	고마<span class="불규칙">워</span>요<p class="small">(*고마<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div><div class="미래">고마울 거예요</div></div><div class="bloc"><div class="고">고맙고</div><div class="지만">고맙지만</div><div class="는데">고마운데</div><div class="면">고마우면</div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사해요 est plus formelle</li></ul>
[sound:고마웠어요.mp3]	고마<span class="불규칙">웠</span>어요<p class="small">(*고마<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div><div class="미래">고마울 거예요</div></div><div class="bloc"><div class="고">고맙고</div><div class="지만">고맙지만</div><div class="는데">고마운데</div><div class="면">고마우면</div></div></div>	il remerciait / il était reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사했어요 est plus formelle</li></ul>
[sound:고마울_거예요.mp3]	고마<span class="불규칙">울</span> 거예요<p class="small">(*고마<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div><div class="미래">고마울 거예요</div></div><div class="bloc"><div class="고">고맙고</div><div class="지만">고맙지만</div><div class="는데">고마운데</div><div class="면">고마우면</div></div></div>	il remerciera / il sera reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사할 거예요 est plus formelle</li></ul>

[sound:공부해요.mp3]	공부해요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div><div class="과거">공부했어요</div><div class="미래">공부할 거예요</div><div class="명령법">공부하세요</div></div><div class="bloc"><div class="고">공부하고</div><div class="지만">공부하지만</div><div class="는데">공부하는데</div><div class="면">공부하면</div></div></div>	il étudie<p class="small">(해요체, registre informel poli)</p>
[sound:공부했어요.mp3]	공부했어요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div><div class="과거">공부했어요</div><div class="미래">공부할 거예요</div><div class="명령법">공부하세요</div></div><div class="bloc"><div class="고">공부하고</div><div class="지만">공부하지만</div><div class="는데">공부하는데</div><div class="면">공부하면</div></div></div>	il étudiait<p class="small">(해요체, registre informel poli)</p>
[sound:공부할_거예요.mp3]	공부할 거예요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div><div class="과거">공부했어요</div><div class="미래">공부할 거예요</div><div class="명령법">공부하세요</div></div><div class="bloc"><div class="고">공부하고</div><div class="지만">공부하지만</div><div class="는데">공부하는데</div><div class="면">공부하면</div></div></div>	il étudiera<p class="small">(해요체, registre informel poli)</p>

[sound:괜찮습니다.mp3]	괜찮습니다<p class="발음">[괜찮<span style="font-weight: bold">슴</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div><div class="미래">괜찮을 거예요</div></div><div class="bloc"><div class="고">괜찮고</div><div class="지만">괜찮지만</div><div class="는데">괜찮은데</div><div class="면">괜찮으면</div></div></div>	il va bien, ça va, ce n'est pas grave<p class="small">(하십시오체, registre formel poli)</p><ul><li>en réponse à des excuses&nbsp;: &mdash;&nbsp;미안합니다 / 죄송합니다. &mdash;&nbsp;괜찮습니다.</li></ul>
[sound:괜찮아요.mp3]	괜찮아요<div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div><div class="미래">괜찮을 거예요</div></div><div class="bloc"><div class="고">괜찮고</div><div class="지만">괜찮지만</div><div class="는데">괜찮은데</div><div class="면">괜찮으면</div></div></div>	il va bien, ça va, ce n'est pas grave<p class="small">(해요체, registre informel poli)</p><ul><li>en réponse à des excuses&nbsp;: &mdash;&nbsp;미안해요 / 죄송해요. &mdash;&nbsp;괜찮아요.</li></ul>
[sound:괜찮았어요.mp3]	괜찮았어요<div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div><div class="미래">괜찮을 거예요</div></div><div class="bloc"><div class="고">괜찮고</div><div class="지만">괜찮지만</div><div class="는데">괜찮은데</div><div class="면">괜찮으면</div></div></div>	il allait bien, ça allait, ce n'était pas grave<p class="small">(해요체, registre informel poli)</p>
[sound:괜찮을_거예요.mp3]	괜찮을 거예요<div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div><div class="미래">괜찮을 거예요</div></div><div class="bloc"><div class="고">괜찮고</div><div class="지만">괜찮지만</div><div class="는데">괜찮은데</div><div class="면">괜찮으면</div></div></div>	il ira bien, ça ira, ce ne sera pas grave<p class="small">(해요체, registre informel poli)</p>

[sound:구경해요.mp3]	구경해요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div><div class="과거">구경했어요</div><div class="미래">구경할 거예요</div></div><div class="bloc"><div class="고">구경하고</div><div class="지만">구경하지만</div><div class="는데">구경하는데</div><div class="면">구경하면</div></div></div>	il visite<hr/>il regarde<p class="small">(해요체, registre informel poli)</p>
[sound:구경했어요.mp3]	구경했어요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div><div class="과거">구경했어요</div><div class="미래">구경할 거예요</div></div><div class="bloc"><div class="고">구경하고</div><div class="지만">구경하지만</div><div class="는데">구경하는데</div><div class="면">구경하면</div></div></div>	il visitait<hr/>il regardait<p class="small">(해요체, registre informel poli)</p>
[sound:구경할_거예요.mp3]	구경할 거예요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div><div class="과거">구경했어요</div><div class="미래">구경할 거예요</div></div><div class="bloc"><div class="고">구경하고</div><div class="지만">구경하지만</div><div class="는데">구경하는데</div><div class="면">구경하면</div></div></div>	il visitera<hr/>il regardera<p class="small">(해요체, registre informel poli)</p>

[sound:구워요.mp3]	구<span class="불규칙">워</span>요<p class="small">(*구<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">굽다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">구워요</div><div class="과거">구웠어요</div><div class="미래">구울 거예요</div></div><div class="bloc"><div class="고">굽고</div><div class="지만">굽지만</div><div class="는데">굽는데</div><div class="면">구우면</div></div></div>	il grille<p class="small">(해요체, registre informel poli)</p>
[sound:구웠어요.mp3]	구<span class="불규칙">웠</span>어요<p class="small">(*구<span class="불규칙">우었</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">굽다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">구워요</div><div class="과거">구웠어요</div><div class="미래">구울 거예요</div></div><div class="bloc"><div class="고">굽고</div><div class="지만">굽지만</div><div class="는데">굽는데</div><div class="면">구우면</div></div></div>	il grillait<p class="small">(해요체, registre informel poli)</p>
